,Texto,Sentimento
141,"RT @ElevaBrasilES: Durante duas décadas houve uma falsa polarização entre PT e PSDB, mas não foi entre ""esquerdas"" como Olavo de Carvalho e…",Insatisfeito
142,RT @mspbra: Tarcísio amaciando a picanha do Lula... https://t.co/hHhtdt8Mbj,Insatisfeito
143,"RT @izanildo_sabino: @jairbolsonaro Agora temos um presidente que trata o seu povo com carinho e afeto. 
- Oi, Lula. Oi, Lula.
- Fala, quer…",Insatisfeito
144,RT @TerraBrasilnot: Homem coloca repórter em ‘saia justa’ ao vivo após ligar vitória de Lula à série de ataques de facção no RN: “O amor ve…,Insatisfeito
145,"RT @A_MelhorNoticia: 🚨 Gospel:
Bispo Macedo diz que orou pelo Lula quando o presidente estava doente, mas o petista nunca lhe deu nada em t…",Insatisfeito
146,"RT @lazarorosa25: Governo Lula: Em 73 dias as reservas internacionais aumentaram em US$ 14,2 bilhões. Com Jair, as reservas emagreceram US$…",Insatisfeito
147,"RT @lazarorosa25: ""Oi Lula"" https://t.co/5LCPUvFRdS",Insatisfeito
148,"@linikersgo @Pragmatismo_ Amigo sou PT, lula, não tá especiado que a major seja Bolsonarista.",Insatisfeito
149,"@A_MelhorNoticia Depois dessa oração aí, o Lula precisa é se benzer isso sim",Insatisfeito
150,"RT @FlavioBolsonaro: O governo Bolsonaro registrou queda HISTÓRICA de invasões de fazendas. Já no governo Lula, em poucos meses, as invasõe…",Insatisfeito
151,"RT @EduGiraoOficial: COINCIDÊNCIA?Leniente c/invasões do MST,min petista do Des.Agrário de LULA é defensor da liberação da maconha.Será q q…",Insatisfeito
152,"Lula dijo que una de las misiones de su gobierno es reorganizar la Unasur
#Noticias #ElObjetivoCba… https://t.co/xLv6zY2ySD",Insatisfeito
153,"RT @pmarcelo1972: Armamento de posse dos ""meninos do Lula"" apreendido hoje pela PMERJ na Cidade de Deus (RJ).
E aí @FlavioDino estas armas…",Insatisfeito
154,RT @reynaldogassibe: Senado Federal dá sinais positivos à indicação de Zanin para o STF.  É essencial q Zanin seja sabatinado à exaustão a…,Insatisfeito
155,"🚨🚨🚨 🚨🚨🚨🚨🚨 
Lula estava discursando na posse do novo diretor-geral da Itaipu e apareceu uma criança e fala o que tod… https://t.co/9tYFnNAthz",Insatisfeito
156,"RT @Zambelli2210: Novamente lula ataca e menospreza o esforço exaustivo e o mérito dos servidores concursados para justificar seus atos.

C…",Insatisfeito
157,RT @gazetadopovo: 94% do mercado financeiro não confia no presidente Lula https://t.co/YYn60bGAiK,Insatisfeito
158,RT @PedroRonchi2: O Lula apresentou projeto pra igualar salários de homens e mulheres. O mercado tá dizendo que isso vai gerar desemprego d…,Insatisfeito
159,"RT @SergioAJBarrett: O momento ternura do Lula com o menino da plateia.       
E quanta diferença dessas imagens com aquelas do Bolsonaro t…",Insatisfeito
160,"@Marcos_11_66 Já está atrasado! Esse cara não é presidente do congresso, está a serviço de Lula.",Insatisfeito
161,RT @viniluchi: Uma criança interrompendo a posse do novo diretor-geral da Itaipu para dizer que ama o Lula é o melhor vídeo para se ver hoj…,Insatisfeito
162,"RT @choquei: “Oi Lula, eu te amo” 😍✨

https://t.co/f36LVGvN9s",Insatisfeito
163,"RT @mspbra: Lula ataca e menospreza novamente concursados públicos e causa revolta.

Diz que prefere um político competente a um técnico co…",Insatisfeito
164,"RT @DLMT_Karla: Oi Lula Eu Te amo 🥰
@LulaOficial  eu te amo também ♥️
BOLSONARO LADRÃO
BOLSONARO NA CADEIA",Insatisfeito
165,RT @Amaro_Coronel: Lula está obtendo pleno êxito! Reconheço que é o governo de maior sucesso que tivemos. Nunca antes na história um presid…,Insatisfeito
166,RT @PedroRonchi2: O Lula apresentou projeto pra igualar salários de homens e mulheres. O mercado tá dizendo que isso vai gerar desemprego d…,Insatisfeito
167,"RT @senadorhumberto: Joseph Stiglitz, prêmio Nobel de Economia, diz que o presidente Lula está totalmente certo ao criticar as altas taxas…",Insatisfeito
168,"RT @choquei: “Oi Lula, eu te amo” 😍✨

https://t.co/f36LVGvN9s",Insatisfeito
169,RT @revistaoeste: Autor de CPMI do 8 de janeiro aciona PGR contra Lula e Padilha https://t.co/75VOsulVJe,Insatisfeito
170,@PantheonRJ Se não gosta do lula vai tomar block,Insatisfeito
171,"RT @mspbra: Criança cobra Lula ao vivo sobre o preço da picanha e o deixa em situação constrangedora.

“As coisas não podem acontecer do di…",Insatisfeito
172,"RT @lazarorosa25: Presidente Lula com a família de Marcelo Arruda, covardemente assassinado no dia do seu aniversário por um bolsonarista.…",Insatisfeito
173,"RT @centralpolitcs: 📉Crise no mercado financeiro pode antecipar queda de juros no Brasil, avalia governo Lula

Uma ala do governo torce por…",Insatisfeito
174,@RicardoFazoL @o_antagonista @LulaOficial Ninguém votou em Lula por causa de picanha. A gente botou pra correr foi… https://t.co/YztnNJH9WM,Insatisfeito
175,"RT @Dante27455639: Sondeo Tuitero 

Si tuvieras que elegir entre Bukele y todo el combo socialista (Obrador, Maduro, Fernández, Lula, Petro…",Insatisfeito
176,"RT @lazarorosa25: Presidente Lula com a família de Marcelo Arruda, covardemente assassinado no dia do seu aniversário por um bolsonarista.…",Insatisfeito
177,"RT @Dante27455639: Sondeo Tuitero 

Si tuvieras que elegir entre Bukele y todo el combo socialista (Obrador, Maduro, Fernández, Lula, Petro…",Insatisfeito
178,@PabloMesquitaR4 @arthurmoledoval E mudou? Antes avia imvasão de garimpeiros hj a invasão é do mst. Mesmo problema… https://t.co/B2j0MqkLpP,Insatisfeito
179,RT @TerraBrasilnot: Lula dispara: ‘Cadeia está cheia de gente inocente no Brasil’ https://t.co/bQjnc49iny,Insatisfeito
180,"Antes qdo o preço d qqer coisa baixava era competência do Bolsonaro, mito, mitooo. Agora n eh competência do Lula,… https://t.co/cMakhd4ReM",Insatisfeito
181,RT @Alexand92840726: @AlexandrePT13CV @CarlosM17244219 @borgescm @asarock8 @Xavi93849835 @RamosEneildes @neylopesmachado @SigaoDecco @Cleuz…,Insatisfeito
182,"Ex-piloto de Lula e Dilma Rousseff, Joseli Camelo toma posse como presidente do STM. https://t.co/JaNYd0Sn9q https://t.co/BC0dZOF5dk",Insatisfeito
183,RT @gazetadopovo: PAULO POLZONOFF - Ministros de Lula passam ridículo comentando vídeo que viralizou por causa do “etarismo”: https://t.co/…,Insatisfeito
184,@opilhado Com o Bolsonaro todos estavam sendo bem alimentados e comendo picanha… só o lula entrar que atrapalhou tu… https://t.co/dWwRR3N6rE,Insatisfeito
185,@FILHOPROTESTANT @CamargoDireita @alertatotal E Lula nem ia dormir de noite por isso,Insatisfeito
186,RT @OsmarTerra: Vocês acham que o crime organizado vai aumentar ou diminuir seu tamanho no governo Lula?,Insatisfeito
187,"RT @silvia_cst: Oi, Lula! Eu te amo 
🥰",Insatisfeito
188,"RT @centralpolitcs: Marcelo Arruda foi morto quando comemorava 50 anos de vida em uma festa com temática do PT e do presidente Lula.
https:…",Insatisfeito
189,"RT @Zambelli2210: É inegável: lula está levando o país para o BURACO, destruindo todas as conquistas do governo Bolsonaro para o povo brasi…",Insatisfeito
